iter	Passed	Remaining
0	686	685714
1	1137	567551
2	1662	552520
3	2163	538637
4	2820	561180
5	3339	553245
6	4000	567566
7	4636	574886
8	5115	563260
9	5606	555006
10	6096	548092
11	6519	536774
12	6948	527563
13	7342	517149
14	7743	508493
15	8173	502691
16	8560	494972
17	8955	488562
18	9390	484847
19	9789	479698
20	10211	476053
21	10601	471269
22	10949	465127
23	11399	463576
24	11762	458740
25	12190	456681
26	12589	453671
27	12964	450068
28	13415	449187
29	13853	447944
30	14250	445438
31	14598	441617
32	14979	438950
33	15253	433390
34	15606	430291
35	15945	426998
36	16320	424771
37	16664	421881
38	17010	419146
39	17348	416372
40	17695	413902
41	18056	411867
42	18450	410634
43	18846	409481
44	19240	408333
45	19544	405337
46	19960	404728
47	20319	402995
48	20643	400650
49	21020	399392
50	21439	398945
51	21766	396819
52	22093	394762
53	22437	393077
54	22766	391171
55	23099	389399
56	23469	388274
57	23807	386663
58	24193	385871
59	24565	384851
60	24929	383744
61	25297	382732
62	25641	381369
63	25928	379209
64	26291	378199
65	26643	377051
66	26932	375040
67	27283	373941
68	27669	373334
69	27993	371914
70	28337	370782
71	28648	369247
72	28880	366748
73	29265	366218
74	29608	365173
75	30006	364813
76	30379	364156
77	30748	363467
78	31108	362666
79	31437	361534
80	31732	360025
81	31983	358057
82	32379	357737
83	32615	355666
84	32918	354357
85	33275	353652
86	33557	352164
87	33860	350917
88	34231	350387
89	34599	349839
90	34991	349532
91	35354	348937
92	35667	347855
93	35999	346976
94	36274	345564
95	36634	344977
96	37029	344716
97	37399	344227
98	37826	344262
99	38204	343837
100	38529	342951
101	38901	342484
102	39133	340807
103	39480	340138
104	39716	338536
105	40118	338361
106	40482	337862
107	40844	337343
108	41185	336666
109	41460	335450
110	41794	334735
111	42142	334126
112	42513	333710
113	42836	332920
114	43075	331494
115	43344	330314
116	43743	330134
117	44096	329602
118	44417	328842
119	44816	328651
120	45209	328423
121	45568	327944
122	45856	326957
123	46096	325647
124	46453	325172
125	46695	323905
126	47023	323242
127	47257	321938
128	47645	321699
129	48051	321575
130	48394	321030
131	48753	320592
132	49058	319802
133	49326	318781
134	49646	318105
135	49877	316866
136	50113	315681
137	50426	314979
138	50692	313999
139	51057	313638
140	51404	313165
141	51670	312207
142	51966	311434
143	52320	311017
144	52593	310119
145	52835	309054
146	53152	308429
147	53388	307343
148	53629	306301
149	53861	305217
150	54089	304116
151	54456	303812
152	54747	303076
153	54980	302036
154	55221	301045
155	55561	300601
156	55793	299578
157	56027	298574
158	56379	298211
159	56673	297537
160	56908	296560
161	57289	296347
162	57532	295426
163	57767	294475
164	58002	293529
165	58435	293583
166	58821	293401
167	59055	292466
168	59400	292079
169	59797	291951
170	60027	291008
171	60261	290095
172	60598	289682
173	60829	288767
174	61220	288612
175	61464	287765
176	61704	286908
177	61938	286029
178	62214	285350
179	62453	284509
180	62691	283668
181	62953	282943
182	63183	282080
183	63427	281287
184	63851	281290
185	64132	280664
186	64456	280230
187	64749	279664
188	64985	278853
189	65211	278005
190	65444	277198
191	65696	276471
192	66093	276360
193	66362	275712
194	66824	275864
195	67057	275073
196	67325	274428
197	67648	274010
198	67876	273210
199	68187	272748
200	68419	271977
201	68664	271257
202	69041	271065
203	69385	270740
204	69678	270218
205	69917	269488
206	70152	268746
207	70434	268193
208	70744	267745
209	71123	267559
210	71476	267274
211	71726	266605
212	72064	266266
213	72421	265995
214	72653	265268
215	72959	264817
216	73228	264230
217	73461	263519
218	73824	263272
219	74054	262556
220	74346	262061
221	74751	261966
222	74989	261286
223	75223	260595
224	75454	259897
225	75686	259211
226	75970	258701
227	76346	258505
228	76707	258260
229	77036	257904
230	77302	257340
231	77546	256704
232	77817	256161
233	78082	255604
234	78313	254935
235	78720	254840
236	78993	254311
237	79225	253655
238	79545	253281
239	79820	252765
240	80160	252456
241	80430	251925
242	80702	251405
243	81024	251042
244	81289	250504
245	81642	250237
246	81907	249700
247	82182	249198
248	82431	248618
249	82834	248503
250	83114	248019
251	83517	247901
252	83752	247284
253	84086	246961
254	84358	246459
255	84602	245876
256	84967	245646
257	85270	245233
258	85630	244988
259	85882	244435
260	86185	244028
261	86530	243739
262	86797	243231
263	87065	242726
264	87386	242374
265	87661	241892
266	87910	241341
267	88172	240829
268	88420	240280
269	88684	239777
270	88992	239394
271	89328	239084
272	89568	238521
273	89966	238377
274	90228	237875
275	90561	237560
276	90791	236974
277	91069	236519
278	91347	236062
279	91601	235547
280	91995	235391
281	92399	235258
282	92664	234772
283	92935	234302
284	93167	233735
285	93438	233269
286	93792	233010
287	94024	232448
288	94303	232005
289	94664	231765
290	94939	231313
291	95289	231043
292	95545	230547
293	95776	229993
294	96006	229439
295	96236	228887
296	96485	228382
297	96765	227950
298	97160	227790
299	97425	227326
300	97725	226943
301	98121	226783
302	98388	226326
